,index,inner_0,inner_1,inner_2,inner_3,outer_0,outer_1,outer_2,outer_3,outer_4,outer_5,frame_ID,bbox,area,perimeter,aspect_ratio
26,"(0, '[229, 89, 244, 103]')",-1.393682,-2.8434954,-2.0596936,-0.4982577,-4.105337,-0.8601962,0.30461842,0.2652536,0.6833174,0.16697288,0,"[229, 89, 244, 103]",149.0,44.04163,1.0714285
27,"(0, '[48, 93, 59, 104]')",-1.6115918,-3.8390915,-1.458423,-0.60141087,0.7799105,4.3433275,-0.46491978,0.18382633,-0.5136003,-0.11410874,0,"[48, 93, 59, 104]",93.0,33.55635,1.0
28,"(0, '[516, 96, 532, 112]')",-1.3735545,-3.230485,-2.3415601,-0.26202443,-1.2043641,0.6203666,-1.1354122,0.71112776,-1.3623385,0.11770589,0,"[516, 96, 532, 112]",200.0,50.04163,1.0
29,"(0, '[113, 99, 122, 109]')",-0.70108354,-4.5869823,-0.12335299,-0.15271838,-2.3790972,4.455686,-3.110104,-0.8318875,0.28766352,0.013153366,0,"[113, 99, 122, 109]",72.0,29.31371,0.9
30,"(0, '[388, 99, 405, 115]')",-2.2044146,-2.2605145,-1.2563653,-0.7172281,-2.8584657,-0.88976395,0.23170792,0.55537605,-0.19200382,0.057893503,0,"[388, 99, 405, 115]",218.0,52.62742,1.0625
31,"(0, '[420, 102, 441, 131]')",1.3025441,2.5612862,-4.574433,1.6814046,0.060266487,2.6614192,0.40338024,-0.12734857,0.37066102,-0.10835049,0,"[420, 102, 441, 131]",414.0,79.01219,0.7241379
32,"(0, '[237, 105, 268, 147]')",0.80461305,6.2169166,-4.207042,0.28881407,-0.37218252,2.093307,-0.39658585,0.09048262,-0.37516358,-0.07405883,0,"[237, 105, 268, 147]",867.0,116.81118,0.7380952
33,"(0, '[275, 109, 315, 147]')",0.66865504,8.459025,-2.9954576,-0.30971575,1.4547997,4.1547747,-0.90209997,0.02449696,-0.84096336,-0.08082458,0,"[275, 109, 315, 147]",1090.0,124.46804,1.0526316
34,"(0, '[36, 111, 46, 121]')",-1.3687785,-5.35652,-1.0439417,-0.287035,-1.801137,0.046074428,0.46261838,0.28366905,-0.017674198,-0.11868838,0,"[36, 111, 46, 121]",77.0,30.727922,1.0
35,"(0, '[464, 114, 504, 163]')",2.9865203,7.807101,-5.1044345,1.1115675,-0.6574102,2.2639837,1.5377815,-0.12674059,1.1750433,-0.11253509,0,"[464, 114, 504, 163]",1437.0,146.46803,0.81632656
36,"(0, '[219, 124, 233, 141]')",-0.5843305,0.41743445,-2.5104494,-0.5508622,-2.4692283,-1.6095445,-0.46786043,0.7351302,-0.9570583,0.08609458,0,"[219, 124, 233, 141]",201.0,50.384777,0.8235294
37,"(0, '[169, 129, 190, 154]')",-3.0473723,2.4463167,-0.08702764,-2.8052137,-0.25062242,-0.26282284,-1.1882852,0.40071893,-1.4642174,0.104799666,0,"[169, 129, 190, 154]",420.0,74.52691,0.84
38,"(0, '[101, 133, 161, 182]')",1.4514837,10.668402,-7.3753614,-0.066586696,1.0479951,2.4205763,2.304576,-0.6803751,1.9623584,-0.047793075,0,"[101, 133, 161, 182]",2210.0,177.09546,1.2244898
39,"(0, '[41, 135, 53, 149]')",0.432531,-1.5691609,-4.006118,1.1353987,-2.6791365,0.17750654,-1.1342226,0.44398618,-0.7101119,0.16190788,0,"[41, 135, 53, 149]",137.0,40.970562,0.85714287
40,"(0, '[406, 135, 439, 166]')",0.9356469,4.173583,-3.5721009,-1.0548948,-1.873418,-1.3061339,0.25245202,0.23548852,0.10703074,0.12052574,0,"[406, 135, 439, 166]",821.0,104.669044,1.0645162
41,"(0, '[501, 142, 539, 189]')",1.4206734,5.481868,-3.0277493,1.4821858,-1.7774067,-0.32242697,0.7000785,0.34555644,-0.026457561,-0.14369836,0,"[501, 142, 539, 189]",1147.0,135.53911,0.80851066
42,"(0, '[188, 143, 217, 174]')",0.6966104,6.203071,-3.8367202,-0.95526683,-0.37393385,-1.2412921,1.0456377,-0.2791309,0.9957458,0.24423458,0,"[188, 143, 217, 174]",712.0,97.25484,0.9354839
43,"(0, '[534, 144, 550, 160]')",0.15761887,-3.3697395,-3.175857,-0.67312,-3.0857317,-0.4436567,-0.8138158,0.5359288,-0.6086858,0.14235552,0,"[534, 144, 550, 160]",200.0,50.04163,1.0
44,"(0, '[239, 157, 253, 173]')",-1.2158762,-0.98102176,-1.8956621,-0.5715216,-2.9942713,-2.236591,-0.44728,0.70956075,-0.7730142,0.10346915,0,"[239, 157, 253, 173]",167.0,46.62742,0.875
45,"(0, '[311, 160, 325, 174]')",-0.9991054,-3.7309675,-2.02585,0.18084666,-1.5560913,2.391526,-1.4552981,0.37038028,-0.88556457,0.11434459,0,"[311, 160, 325, 174]",151.0,43.213203,1.0
46,"(0, '[385, 163, 397, 176]')",-0.9260597,-4.4134593,-1.9775873,0.11114098,-3.769078,-2.9714782,-0.17531659,0.36133996,-0.04446406,0.035181817,0,"[385, 163, 397, 176]",135.0,40.72792,0.9230769
47,"(0, '[45, 165, 93, 216]')",-0.7847113,7.531529,-3.1458166,-2.9168766,-0.034444705,-0.05881173,1.2784427,-0.25854683,1.0287153,0.16546299,0,"[45, 165, 93, 216]",1966.0,163.53911,0.9411765
48,"(0, '[446, 165, 464, 184]')",1.524462,-1.881716,-3.9504943,-1.4444857,-2.7040708,-0.9833313,-0.6833326,0.5615092,-0.6895096,0.11756595,0,"[446, 165, 464, 184]",263.0,57.698486,0.94736844
49,"(0, '[470, 167, 489, 187]')",-0.1468907,0.28998703,-3.025526,-0.16544534,-0.57870704,0.8033133,-0.38671538,0.455361,-0.818719,0.022826321,0,"[470, 167, 489, 187]",300.0,61.698486,0.95
50,"(0, '[574, 173, 587, 189]')",-1.8922246,-4.1230865,-1.6193433,-0.7468633,-3.1905744,-3.9309082,-0.45639566,0.3559742,-0.25012976,0.098426506,0,"[574, 173, 587, 189]",158.0,45.79899,0.8125
51,"(0, '[157, 174, 188, 207]')",-1.5464885,5.234549,-2.6424224,-1.1715498,-0.17193206,2.0712328,-0.8840318,0.21687432,-0.51370347,0.238336,0,"[157, 174, 188, 207]",806.0,104.669044,0.93939394
52,"(0, '[201, 179, 215, 195]')",-2.2949529,-1.717409,-1.2738206,-1.0423731,-3.176004,-0.80888665,-0.7794883,0.48507956,-0.4982915,0.15711191,0,"[201, 179, 215, 195]",160.0,46.04163,0.875
53,"(0, '[247, 180, 259, 194]')",-1.0585562,-3.322292,-2.6083636,-0.19463174,-2.3502486,-1.2629379,-0.6953534,0.5797123,-0.8391953,0.105572924,0,"[247, 180, 259, 194]",137.0,41.55635,0.85714287
54,"(0, '[99, 182, 120, 204]')",1.2307113,5.076007,-3.3262968,-1.2147565,-0.76245135,-1.2027608,-0.48989913,0.49616513,-1.0429353,0.12715237,0,"[99, 182, 120, 204]",352.0,67.941124,0.95454544
55,"(0, '[221, 183, 247, 215]')",1.8907387,4.951016,-2.908338,1.0699362,-1.2195058,1.1457957,0.14895566,0.22287643,-0.16481672,-0.13143499,0,"[221, 183, 247, 215]",584.0,91.497475,0.8125
56,"(0, '[297, 188, 321, 210]')",-0.7924686,1.276763,-1.801525,-1.5613844,-2.8368742,-1.7796386,-0.6931689,0.5909535,-0.6815835,0.14663762,0,"[297, 188, 321, 210]",420.0,73.35534,1.0909091
57,"(0, '[425, 190, 485, 227]')",2.5256102,5.905961,-2.1125176,-2.4196422,-1.6441349,-0.6391339,0.4785691,0.8292457,-0.8392017,-0.028408797,0,"[425, 190, 485, 227]",1807.0,163.63962,1.6216216
58,"(0, '[354, 191, 371, 208]')",-0.44261765,-1.9757987,-2.7992654,-0.047843184,-2.7981405,-2.2030966,-0.46161136,0.6549994,-0.8332778,0.043833252,0,"[354, 191, 371, 208]",238.0,54.62742,1.0
59,"(0, '[29, 192, 40, 204]')",-0.38895857,-3.3885653,0.8686149,0.3915529,0.3210624,5.9292407,-0.6323018,-0.48749375,0.6507802,-0.181849,0,"[29, 192, 40, 204]",105.0,35.55635,0.9166667
60,"(0, '[475, 192, 530, 272]')",4.5142055,7.942235,-3.255061,2.1970086,-0.6694871,1.4961035,0.2512319,0.2628445,-0.352897,-0.17881235,0,"[475, 192, 530, 272]",2521.0,222.89444,0.6875
61,"(0, '[130, 197, 147, 217]')",0.9950092,4.836057,-3.608528,-0.28375477,-2.2802927,-2.979604,-0.10223894,0.16763982,-0.0062837065,0.15735891,0,"[130, 197, 147, 217]",272.0,59.455845,0.85
62,"(0, '[188, 202, 204, 218]')",-0.7014725,-0.5093228,2.1125405,-0.39742392,-1.6188174,0.82241744,1.227831,-0.11473949,1.0793754,-0.12950844,0,"[188, 202, 204, 218]",190.0,49.455845,1.0
63,"(0, '[85, 206, 124, 259]')",2.224382,7.9099154,-2.837343,-0.5721897,0.38659635,0.39140543,1.411445,-0.070576265,0.46046495,-0.11817084,0,"[85, 206, 124, 259]",1480.0,151.53911,0.7358491
64,"(0, '[14, 208, 34, 228]')",0.24249955,3.2363212,-2.958757,-1.2037938,-2.870426,-2.5653229,-0.15176551,0.42800096,-0.2131275,0.14004785,0,"[14, 208, 34, 228]",327.0,64.28427,1.0
65,"(0, '[343, 208, 354, 220]')",-0.9950109,-4.0125084,-2.8010068,0.3126569,-3.9194615,-3.6941783,-0.645254,0.36863703,-0.25025696,0.08645596,0,"[343, 208, 354, 220]",115.0,37.31371,0.9166667
66,"(0, '[361, 210, 368, 218]')",-1.0928721,-5.379671,-0.26222292,-0.05340552,-4.0909457,1.1241719,-2.1212664,0.3009319,-0.75954187,0.10850445,0,"[361, 210, 368, 218]",50.0,23.656855,0.875
67,"(0, '[329, 216, 338, 225]')",-1.4391097,-5.234165,-1.8382434,-0.10487055,-3.7973022,-3.888746,-0.6827053,0.37005216,-0.31230932,0.073374145,0,"[329, 216, 338, 225]",71.0,28.485281,1.0
68,"(0, '[261, 219, 293, 247]')",1.9899986,4.4354715,-3.952071,-1.6323932,-2.3680499,-1.2817549,0.6120885,0.2827759,0.37202096,0.08796476,0,"[261, 219, 293, 247]",706.0,96.669044,1.1428572
69,"(0, '[167, 222, 180, 236]')",-1.5320522,-2.5335882,-0.9750273,-1.4966055,-2.356529,-1.6880683,-1.0058091,0.67909694,-1.1495365,0.101171926,0,"[167, 222, 180, 236]",155.0,43.55635,0.9285714
70,"(0, '[368, 223, 397, 255]')",4.1830544,8.04746,-5.729088,2.2301533,-1.328779,0.1277577,1.0291319,0.3325926,0.10869713,-0.15556745,0,"[368, 223, 397, 255]",687.0,98.669044,0.90625
71,"(0, '[403, 229, 431, 256]')",0.964331,2.2678533,-3.9827156,0.644348,-2.2884772,-0.43926316,0.902342,0.26990265,0.42680466,-0.05631659,0,"[403, 229, 431, 256]",608.0,89.01219,1.037037
72,"(0, '[126, 231, 152, 259]')",-1.6258032,4.2828593,-1.095763,-1.9684035,-1.453867,-1.151147,0.6061566,0.47684768,-0.24153405,0.06026638,0,"[126, 231, 152, 259]",569.0,87.01219,0.9285714
73,"(0, '[308, 233, 324, 249]')",0.31151992,-1.8709822,-3.78206,0.4038302,-3.4026446,-1.2138973,-0.6347414,0.51423633,-0.44775677,0.1166528,0,"[308, 233, 324, 249]",204.0,50.62742,1.0
74,"(0, '[326, 236, 344, 251]')",-0.5814736,-3.1198103,-3.1436546,0.1080912,-3.171454,-1.8014909,-0.25239322,0.6134869,-0.53149426,0.077910304,0,"[326, 236, 344, 251]",218.0,52.04163,1.2
75,"(0, '[521, 236, 545, 264]')",0.969987,2.8226388,-2.439769,-0.9246354,-0.43471378,2.4454134,-0.8081043,0.13689123,-0.4996075,0.017798213,0,"[521, 236, 545, 264]",494.0,82.42641,0.85714287
76,"(0, '[194, 237, 211, 256]')",-0.23461021,-0.6200506,-2.07684,-1.8385258,-2.9141877,-2.5174236,0.15354367,0.4432297,-0.14708406,0.049785472,0,"[194, 237, 211, 256]",255.0,57.455845,0.8947368
77,"(0, '[215, 240, 238, 258]')",-1.8799515,-0.55192566,-1.6771096,-1.1965679,-2.045741,0.20252159,-0.60896736,0.3980963,-0.48613545,0.13268705,0,"[215, 240, 238, 258]",337.0,66.28427,1.2777778
78,"(0, '[568, 242, 592, 268]')",0.35375792,-0.12383131,-2.1750822,0.3651878,-2.874156,0.76173246,-0.0867285,0.12061347,0.2850945,-0.0061711306,0,"[568, 242, 592, 268]",475.0,80.18377,0.9230769
79,"(0, '[558, 243, 568, 254]')",0.3123225,-3.589524,-2.8641236,1.1722517,-1.1737419,1.5126882,-0.36102763,0.2968868,-0.4615693,-0.08206135,0,"[558, 243, 568, 254]",90.0,32.142136,0.90909094
80,"(0, '[5, 245, 28, 266]')",-0.0018100693,1.9487013,-2.120459,-1.1494287,0.2840606,1.2328063,-1.6829562,0.85789704,-2.2339385,0.060789444,0,"[5, 245, 28, 266]",366.0,70.52691,1.0952381
81,"(0, '[463, 251, 470, 261]')",-0.24208353,-5.4266777,-0.36956796,0.036212325,-4.392722,-0.6835383,-0.34438872,0.58296615,-0.28652316,0.02813862,0,"[463, 251, 470, 261]",56.0,26.485281,0.7
82,"(0, '[146, 252, 194, 291]')",1.5536617,9.265466,-4.6253448,1.015133,0.7642069,0.6880403,1.0412259,0.054839585,-0.06532814,-0.1745514,0,"[146, 252, 194, 291]",1370.0,141.88225,1.2307693
